abnormal_time,abnormalpattern_noerror_ranked,abnormalpattern_error_ranked,inject_time,inject_pod,inject_type
2022-08-22 04:37,"[{'events': '25_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '81_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '170_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '2_107', 'score': 0.21621621621621623, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '121_122', 'score': 0.134020618556701, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.134020618556701, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.11764705882352944, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_109', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '111_112', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:36:03,cartservice-579f59597d-wc2lz,cpu_contention
2022-08-22 04:38,"[{'events': '25_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '81_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '170_184', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '2_107', 'score': 0.1470588235294117, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '121_122', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.12408759124087587, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_109', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '111_112', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': 0.07692307692307687, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:36:03,cartservice-579f59597d-wc2lz,cpu_contention
2022-08-22 04:45,"[{'events': '148_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_121', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_145', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '152_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '152_123', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '140_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '140_119', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '136_141', 'score': 1.0, 'deepth': 3, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '136_149', 'score': 1.0, 'deepth': 3, 'pod': 'checkoutservice-578fcf4766-9csqn'}]",[],2022-08-22 04:44:16,checkoutservice-578fcf4766-9csqn,cpu_contention
2022-08-22 04:46,"[{'events': '148_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_121', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_145', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '140_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '140_119', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '152_184', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '152_123', 'score': 1.0, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '136_137', 'score': 1.0, 'deepth': 3, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '136_141', 'score': 1.0, 'deepth': 3, 'pod': 'checkoutservice-578fcf4766-9csqn'}]",[],2022-08-22 04:44:16,checkoutservice-578fcf4766-9csqn,cpu_contention
2022-08-22 04:53,"[{'events': '2_3', 'score': 0.08936170212765959, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '14_15', 'score': 0.08936170212765959, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '14_51', 'score': 0.08936170212765959, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_76', 'score': 0.08661417322834652, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '77_78', 'score': 0.08661417322834652, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '77_79', 'score': 0.08661417322834652, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '55_56', 'score': 0.08424908424908417, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '59_60', 'score': 0.08424908424908417, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '63_64', 'score': 0.08424908424908417, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '106_92', 'score': -0.08333333333333337, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}]",[],2022-08-22 04:52:55,checkoutservice-578fcf4766-9csqn,network_delay
2022-08-22 04:54,"[{'events': '2_107', 'score': 0.19444444444444442, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '121_122', 'score': 0.17647058823529416, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.17647058823529416, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.16666666666666674, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_109', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '111_112', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_120', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_23', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '123_124', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],2022-08-22 04:52:55,checkoutservice-578fcf4766-9csqn,network_delay
2022-08-22 05:02,"[{'events': '113_116', 'score': 1.0, 'deepth': 1, 'pod': 'checkoutservice-578fcf4766-9csqn', 'events_expected': '113_114'}, {'events': '121_122', 'score': 0.4042553191489362, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.4042553191489362, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.34426229508196715, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '110_4', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_112', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '111_113', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_120', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '119_23', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '123_124', 'score': 0.1428571428571428, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '153_188', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '153_154'}]",2022-08-22 05:01:13,checkoutservice-578fcf4766-9csqn,exception
2022-08-22 05:03,"[{'events': '75_184', 'score': 1.0, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '22_184', 'score': 1.0, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '72_73', 'score': 1.0, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '72_19', 'score': 1.0, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '18_19', 'score': 1.0, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '113_116', 'score': 1.0, 'deepth': 1, 'pod': 'checkoutservice-578fcf4766-9csqn', 'events_expected': '113_114'}, {'events': '121_122', 'score': 0.3731343283582089, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.3731343283582089, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.2941176470588236, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': 0.14524905818334033, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '153_188', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '153_154'}]",2022-08-22 05:01:13,checkoutservice-578fcf4766-9csqn,exception
2022-08-22 05:10,"[{'events': '113_116', 'score': 1.0, 'deepth': 1, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '2_109', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '113_114', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '127_128', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '127_171', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '129_130', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '129_169', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '131_132', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '131_179', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '153_154', 'score': -0.16129032258064513, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '153_189', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '153_154'}]",2022-08-22 05:09:50,checkoutservice-578fcf4766-9csqn,return
2022-08-22 05:11,"[{'events': '113_116', 'score': 1.0, 'deepth': 1, 'pod': 'checkoutservice-578fcf4766-9csqn', 'events_expected': '113_114'}, {'events': '121_122', 'score': 0.26956521739130435, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '121_36', 'score': 0.26956521739130435, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': 0.21568627450980382, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '2_107', 'score': 0.10769230769230775, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '2_76', 'score': -0.07407407407407407, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '77_78', 'score': -0.07407407407407407, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '77_79', 'score': -0.07407407407407407, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 0.07223989095865524, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': 0.07223989095865524, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '2_82'}, {'events': '153_189', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_expected': '153_154'}]",2022-08-22 05:09:50,checkoutservice-578fcf4766-9csqn,return
