abnormal_time,abnormal_patternnoerror_ranked,abnormal_patternerror_ranked,total_score,inject_time,inject_pod,inject_type
2022-08-22 04:37,"[{'events': '25_184', 'score': 413, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '73_74', 'score': -236, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -118, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -118, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -118, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '81_184', 'score': 63, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '170_184', 'score': 21, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '1_2', 'score': -21, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '4_5', 'score': -21, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': -16, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],56620,2022-08-22 04:36:03,cartservice-579f59597d-wc2lz,cpu_contention
2022-08-22 04:38,"[{'events': '25_184', 'score': 421, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '73_74', 'score': -220, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -118, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -110, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -110, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '81_184', 'score': 61, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz'}, {'events': '47_48', 'score': -61, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': -61, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': -53, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': -39, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],57270,2022-08-22 04:36:03,cartservice-579f59597d-wc2lz,cpu_contention
2022-08-22 04:45,"[{'events': '47_48', 'score': 165, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 165, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 151, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 141, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 141, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '148_184', 'score': 48, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_121', 'score': 32, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '144_145', 'score': 32, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '73_74', 'score': -20, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': 20, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],53036,2022-08-22 04:44:16,checkoutservice-578fcf4766-9csqn,cpu_contention
2022-08-22 04:46,"[{'events': '73_74', 'score': -186, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -93, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -93, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -92, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '148_184', 'score': 81, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}, {'events': '12_13', 'score': 72, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 72, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 61, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 61, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '144_121', 'score': 54, 'deepth': 4, 'pod': 'checkoutservice-578fcf4766-9csqn'}]",[],56340,2022-08-22 04:44:16,checkoutservice-578fcf4766-9csqn,cpu_contention
2022-08-22 04:53,"[{'events': '47_48', 'score': -304, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': -304, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': -276, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': -270, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': -270, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': -76, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -66, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': -41, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '4_5', 'score': -41, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -38, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],58670,2022-08-22 04:52:55,checkoutservice-578fcf4766-9csqn,network_delay
2022-08-22 04:54,"[{'events': '73_74', 'score': -230, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': -162, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': -162, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -142, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': -135, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': -117, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': -117, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -115, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -115, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': -37, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],58676,2022-08-22 04:52:55,checkoutservice-578fcf4766-9csqn,network_delay
2022-08-22 05:02,"[{'events': '73_74', 'score': -462, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': -256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': -256, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': -251, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '19_20', 'score': -236, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -231, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -231, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': -194, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': -194, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': -63, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 24, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '153_188', 'score': 24, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",59770,2022-08-22 05:01:13,checkoutservice-578fcf4766-9csqn,exception
2022-08-22 05:03,"[{'events': '75_184', 'score': 2736, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '72_73', 'score': 2736, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '22_184', 'score': 1748, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '72_19', 'score': 1368, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '18_19', 'score': 380, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '67_68', 'score': -347, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -347, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': 67, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 67, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 50, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 18, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '153_188', 'score': 18, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",67170,2022-08-22 05:01:13,checkoutservice-578fcf4766-9csqn,exception
2022-08-22 05:10,"[{'events': '73_74', 'score': -238, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -123, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -119, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -119, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': 64, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 64, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '47_48', 'score': 57, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 57, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '106_92', 'score': -14, 'deepth': 2, 'pod': 'adservice-5f6585d649-fnmft'}, {'events': '2_99', 'score': -14, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 5, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '153_189', 'score': 5, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",55582,2022-08-22 05:09:50,checkoutservice-578fcf4766-9csqn,return
2022-08-22 05:11,"[{'events': '73_74', 'score': -318, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': -159, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': -159, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': -146, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': -75, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '47_48', 'score': -62, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': -62, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_13', 'score': -44, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': -44, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '145_146', 'score': -33, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]","[{'events': '2_185', 'score': 20, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '153_189', 'score': 20, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",56350,2022-08-22 05:09:50,checkoutservice-578fcf4766-9csqn,return
2022-08-22 05:19,"[{'events': '47_48', 'score': 1974, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 1974, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 1682, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 1651, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 1651, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 1390, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '19_20', 'score': 987, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '67_68', 'score': 695, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': 695, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '75_184', 'score': 652, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}]",[],18635,2022-08-22 05:18:09,currencyservice-cf787dd48-vpjrd,cpu_contention
2022-08-22 05:20,"[{'events': '47_48', 'score': 2178, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 2178, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 1857, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 1826, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 1826, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 1444, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '19_20', 'score': 1043, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '67_68', 'score': 722, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': 722, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '75_184', 'score': 598, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}]",[],15093,2022-08-22 05:18:09,currencyservice-cf787dd48-vpjrd,cpu_contention
2022-08-22 05:28,"[{'events': '47_48', 'score': 1012, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '49_50', 'score': 1012, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '36_37', 'score': 864, 'deepth': 1, 'pod': 'productcatalogservice-668d5f85fb-wckp8'}, {'events': '12_13', 'score': 854, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '12_36', 'score': 854, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '73_74', 'score': 810, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '19_20', 'score': 553, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_68', 'score': 405, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '67_69', 'score': 405, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}, {'events': '1_2', 'score': 181, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm'}]",[],34371,2022-08-22 05:27:06,currencyservice-cf787dd48-vpjrd,network_delay
